economy,Country,EN.POP.SLUM.UR.ZS,FM.AST.DOMS.CN,FP.CPI.TOTL.ZG,IC.FRM.BRIB.ZS,NY.GDP.PCAP.KD,SE.PRM.ENRR,SE.PRM.UNER,SH.DYN.NMRT,SI.POV.GINI,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,Year
ZWE,Zimbabwe,,106696608135.525,557.20181736205,,1307.01362967584,97.3049087524414,402190.0,25.7,,5.35099983215332,28.977,2020
ZMB,Zambia,,102654913479.66,15.7325851421273,,1273.87955763706,,,24.0,,12.8479995727539,35.443,2020
YEM,"Yemen, Rep.",,,,,1144.41667125706,,,28.1,,13.3909997940063,29.304,2020
PSE,West Bank and Gaza,,10116402736.66,-0.735332001092242,,2922.46801084844,96.4271926879883,24571.0,10.3,,25.8899993896484,28.214,2020
VIR,Virgin Islands (U.S.),,,,,35620.8719163345,,,,,13.5450000762939,12.1,2020
VNM,Vietnam,,9655439578246990.0,3.22093436652514,,3316.00425182898,117.157173156738,,10.0,,2.39000010490417,16.12,2020
VEN,"Venezuela, RB",,,,,,,,14.6,,6.6269998550415,17.297,2020
VUT,Vanuatu,,43137133236.0,5.32935073101713,,2661.57276458963,121.913780212402,1576.0,10.5,,2.11899995803833,28.763,2020
UZB,Uzbekistan,,67562482932057.9,,,3159.72604728047,100.065063476563,23447.0,7.6,,7.04099988937378,24.6,2020
URY,Uruguay,,775503314551.902,9.75640636078191,,15002.6493661467,,,4.1,40.2,10.3500003814697,13.616,2020
USA,United States,,25612705151901.7,1.23358439630637,,58060.3139482984,,,3.4,,8.05000019073486,10.9,2020
GBR,United Kingdom,,4002323000000.0,0.98948670377243,,43166.1552001396,,,2.7,,4.47200012207031,10.2,2020
ARE,United Arab Emirates,,1505140000000.0,-2.0794031794094,,37497.580713635,115.351676940918,947.0,3.6,,3.18799996376038,10.126,2020
UKR,Ukraine,,1828302911112.3,2.7324920941942,,2350.39990234375,,,4.8,25.6,9.13199996948242,7.8,2020
UGA,Uganda,,26139335405150.9,3.7944227490438,,891.295903892866,,,19.2,,2.76799988746643,36.674,2020
TUV,Tuvalu,,,,,3946.36144186452,85.5137176513672,273.0,10.1,,,,2020
TCA,Turks and Caicos Islands,,,,,20723.9136883334,114.3837890625,,,,,,2020
TKM,Turkmenistan,,,,,,116.993011474609,,23.5,,4.95100021362305,22.348,2020
TUR,Turkiye,,4656079216911.82,12.2789574462574,,12038.6281095007,,,5.0,,13.1099996566772,15.531,2020
TUN,Tunisia,,108406006368.165,5.63415115897623,11.9,3800.23194276798,113.448738098145,,11.8,,16.5919990539551,16.604,2020
TTO,Trinidad and Tobago,,92021417601.71,0.598986330824747,,15067.7087993444,,,10.6,,4.56799983978271,12.235,2020
TON,Tonga,,247252891.1125,-0.349737696727454,,4629.88139082907,114.878433227539,94.0,5.0,,3.62800002098084,23.754,2020
TGO,Togo,,1320995990400.0,1.82754038520035,,626.622055444436,126.272987365723,15757.0,24.5,,3.9449999332428,32.334,2020
TLS,Timor-Leste,,-416305315.689438,,,1587.85715920589,,,19.4,,4.90500020980835,29.023,2020
THA,Thailand,,22301560052521.7,-0.845937147357037,,6187.07028885175,102.225120544434,,4.9,35.0,1.10000002384186,9.987,2020
TZA,Tanzania,,26139598478687.7,3.29029062798326,,1061.17028808594,96.9129409790039,1812727.0,20.1,,2.52800011634827,35.981,2020
TJK,Tajikistan,,11087525940.47,,,1197.90281151256,,,14.0,,7.58300018310547,29.227,2020
SYR,Syrian Arab Republic,,,,,,,,10.7,,10.2569999694824,22.71,2020
CHE,Switzerland,,,-0.725874933313391,,85685.2902734836,,,2.8,,4.82000017166138,9.9,2020
SWE,Sweden,,8423988000000.0,0.497367318853562,0.0,51541.6557289791,,,1.4,,8.28999996185303,10.9,2020
SUR,Suriname,,21818430559.6248,34.8929491585684,,7529.61409972682,108.502586364746,7371.0,10.9,,9.77799987792969,18.053,2020
SDN,Sudan,,1080891041057.06,150.322723865569,,1852.80895996094,,,26.8,,19.6490001678467,31.491,2020
VCT,St. Vincent and the Grenadines,,1127958590.4,-0.628131309354661,,7354.64619053433,,,8.8,,21.0020008087158,13.938,2020
MAF,St. Martin (French part),,,,,,,,,,,14.4,2020
LCA,St. Lucia,,3068630595.2,-1.75580833517596,,8651.34933287437,101.090721130371,497.0,12.9,,16.8920001983643,11.656,2020
KNA,St. Kitts and Nevis,,614835671.47,-1.16724501769362,,17404.4135656076,,,10.0,,,,2020
LKA,Sri Lanka,,,6.15394508391743,,4053.72618291408,100.301719665527,,4.0,,5.87799978256226,15.253,2020
ESP,Spain,,2165678000000.0,-0.322753017299705,,24939.1872568495,,,1.7,,15.5299997329712,7.1,2020
SSD,South Sudan,,255020938504.105,29.6758435538571,,,,,40.2,,14.0299997329712,34.297,2020
ZAF,South Africa,,4238631960321.4,3.21003597454107,1.5,5659.20694886571,,,10.6,,29.2199993133545,19.773,2020
SOM,Somalia,,,,,444.788430749206,,,36.8,,19.7229995727539,41.406,2020
SLB,Solomon Islands,,1514636921.91,2.96354992076069,,2136.22905276968,,,7.8,,0.916000008583069,31.447,2020
SVN,Slovenia,,32882660000.0,-0.0548568157606067,,22899.360703212,,,1.2,,4.96999979019165,8.9,2020
SVK,Slovak Republic,,83743330000.0,1.9369412669422,,17360.711193011,,,3.0,,6.69000005722046,10.4,2020
SXM,Sint Maarten (Dutch part),,,,,,,,,,,,2020
SGP,Singapore,,701010700000.0,-0.181916666666656,,58982.4609149611,,,0.8,,4.09999990463257,8.5,2020
SLE,Sierra Leone,,11105611297371.1,13.4469773031285,,623.88909267173,141.325317382813,,31.4,,5.19500017166138,32.354,2020
SYC,Seychelles,,14611034089.345,8.27685811437228,,15544.4638538782,100.794998168945,135.0,8.4,,,15.8,2020
SRB,Serbia,,3139611165000.0,1.57553290083409,,6549.35006252111,97.7058486938477,7672.0,3.6,,9.01000022888184,8.9,2020
SEN,Senegal,,6102589399282.0,2.54743464570552,,1365.25156343358,83.0092086791992,670978.0,20.6,,3.62299990653992,33.418,2020
SAU,Saudi Arabia,,,3.44545825956691,,18700.2258378138,100.219467163086,177254.0,3.5,,7.44999980926514,16.814,2020
STP,Sao Tome and Principe,,2030289659.07812,,,1692.21874269843,,,7.8,,15.746000289917,30.811,2020
SMR,San Marino,,,,,41499.7063932344,96.2762832641602,62.0,0.8,,,6.4,2020
WSM,Samoa,,936926000.0,-1.568912477409,,4359.11864018799,117.853302001953,,6.7,,9.14900016784668,23.855,2020
RWA,Rwanda,,2241980245111.3,9.85039902274209,,834.396661106735,,,17.9,,1.48500001430511,30.725,2020
RUS,Russian Federation,,71196469950000.0,3.38165937237896,,9711.41796875,,,2.3,36.0,5.59000015258789,9.8,2020
ROU,Romania,,375026992436.0,2.63107311184752,,10865.1410616386,,,3.5,,5.03000020980835,9.2,2020
QAT,Qatar,,1180058141000.0,-2.54031503004763,,56026.8872460275,103.919662475586,,3.5,,0.214000001549721,9.226,2020
PRI,Puerto Rico,,,,,28236.7830671194,,,,,8.89000034332275,5.6,2020
PRT,Portugal,,314181320000.0,-0.0124383299576167,,19771.577419808,,,1.8,,6.78999996185303,8.2,2020
POL,Poland,,1828517000000.0,3.3744697261859,,14660.7939183601,,,2.7,,3.16000008583069,9.4,2020
PHL,Philippines,,13942931484877.2,2.39316239316241,,3271.64988766657,98.2735900878906,478927.0,12.6,,2.51999998092651,19.89,2020
PER,Peru,,369608883622.621,2.00241205759293,,5807.06540086688,120.98461151123,,6.7,43.8,7.17999982833862,17.544,2020
PRY,Paraguay,,100975613599993.0,1.7675159235669,,5656.26120150786,,,10.0,43.5,7.55000019073486,20.093,2020
PNG,Papua New Guinea,,25118093540.07,4.87167398565548,,2666.21125526884,,,21.5,,2.59500002861023,26.522,2020
PAN,Panama,,50622437207.66,-1.55027540803759,,12172.3108102952,94.6701431274414,47957.0,8.0,,12.8540000915527,18.451,2020
PLW,Palau,,,0.218181818181824,,13250.8983465684,102.283409118652,59.0,8.9,,,11.0,2020
PAK,Pakistan,,26104843892573.0,9.73999313898131,,1449.1171795916,,,40.4,,4.30299997329712,27.379,2020
OMN,Oman,,,-0.903874872278535,,15743.2242944462,104.521141052246,4736.0,4.9,,2.94000005722046,17.782,2020
NOR,Norway,,5061580000000.0,1.28658490707998,,75017.1567472977,,,1.3,,4.42000007629395,9.8,2020
MNP,Northern Mariana Islands,,,,,,,,,,,,2020
MKD,North Macedonia,,400021913571.33,1.20007348888482,,5067.21360634667,,,3.9,,17.2000007629395,9.2,2020
NGA,Nigeria,,41383172984532.6,13.2460234276597,,2396.03646223194,,,35.5,,9.71399974822998,37.011,2020
NER,Niger,,1240719168526.0,2.89819376026271,,522.555583132809,,,24.1,,0.624000012874603,45.213,2020
NIC,Nicaragua,,154784798741.575,3.68181341625573,,1923.91585798786,,,9.4,,6.07800006866455,19.788,2020
NZL,New Zealand,,544481997000.0,1.71456170007244,,39216.2248628459,,,2.6,,4.59000015258789,11.32,2020
NCL,New Caledonia,,,,,,,,,,16.4290008544922,13.783,2020
NLD,Netherlands,,1465779000000.0,1.2724603778917,0.3,46345.3472097391,,,2.7,,3.8199999332428,9.7,2020
NPL,Nepal,,4152219674195.61,5.05236655289216,,1025.50911243226,126.934768676758,,16.9,,4.72399997711182,19.256,2020
NRU,Nauru,,,,,8367.18861313573,95.6549911499023,67.0,18.3,,,,2020
NAM,Namibia,,134933214907.755,2.20938236933476,,4074.51115067956,,,20.1,,21.4459991455078,27.659,2020
MMR,Myanmar,,60937853760000.0,,,1586.90228794315,,,22.3,,1.05799996852875,17.233,2020
MOZ,Mozambique,,329004825601.931,3.14169129409215,,574.595549385651,118.419631958008,52869.0,28.3,,3.80999994277954,36.808,2020
MAR,Morocco,,1371061628388.32,0.705968661338317,,2818.77172851563,115.152671813965,17612.0,11.5,,11.4540004730225,18.099,2020
MNE,Montenegro,,2140799367.2,-0.255655699848551,,6515.53374505326,101.662872314453,26.0,1.1,,17.8999996185303,11.4,2020
MNG,Mongolia,,20015597255821.0,3.69316922767457,,4126.69912400948,,,7.9,,7.01000022888184,22.564,2020
MCO,Monaco,,,,,159221.616783797,,,1.6,,,,2020
MDA,Moldova,,51346594607.42,3.76597122245349,,3235.94580488099,106.251617431641,1036.0,10.6,,3.8199999332428,9.763,2020
FSM,"Micronesia, Fed. Sts.",,,0.550898203592806,,2839.38836828778,89.9985885620117,2373.0,12.9,,,22.606,2020
MEX,Mexico,,10165776311744.4,3.39683415569999,,8922.61247240763,,,8.4,45.4,4.44999980926514,17.005,2020
MUS,Mauritius,,612902890432.87,2.58080077182828,,9058.20835474945,,,10.5,,7.40700006484985,10.6,2020
MRT,Mauritania,,,2.38569488456317,,1549.95882763218,,,31.2,,11.2700004577637,32.843,2020
MHL,Marshall Islands,,,,,3508.79818900564,74.8581008911133,2675.0,14.2,,,,2020
MLT,Malta,,15004000000.0,0.638544956776653,,25427.0817776539,,,4.3,,4.26000022888184,8.6,2020
MLI,Mali,,3382091090513.0,0.438088940320712,,781.731457429873,,,31.6,,7.69600009918213,40.557,2020
MDV,Maldives,,54641166359.41,-1.3697742556981,,6660.83329856059,,,4.1,,6.32800006866455,13.055,2020
MYS,Malaysia,,2297631782641.18,-1.13870215393056,,10631.5076637003,103.911987304688,47580.0,4.6,,4.50400018692017,16.435,2020
MWI,Malawi,,,8.62551469650552,,394.003162068344,,,19.1,,6.70100021362305,33.416,2020
MDG,Madagascar,,11214643971623.3,4.20179312190553,,442.169630545194,,,20.3,,2.47399997711182,32.145,2020
MAC,"Macao SAR, China",,162103317000.0,0.81141051149158,,36172.2927851087,99.2547302246094,1207.0,,,2.5699999332428,10.712,2020
LUX,Luxembourg,,120247000000.0,0.819957302126994,0.0,104879.256213901,,,1.7,,6.76999998092651,10.2,2020
LTU,Lithuania,,22280000000.0,1.19989444983569,,17213.8143045269,,,1.9,,8.48999977111816,9.0,2020
LIE,Liechtenstein,,,,,,,,,,,9.1,2020
LBY,Libya,,23138912613.0,,,6747.63894519799,,,6.0,,20.0659999847412,17.806,2020
LBR,Liberia,,,,,616.005385821789,,,30.6,,3.98000001907349,32.355,2020
LSO,Lesotho,,5312444943.51982,4.97809676252292,,1033.43213212091,,,44.3,,24.5629997253418,25.998,2020
LBN,Lebanon,,,84.8643330472041,,5072.45575306519,,,4.0,,13.2969999313354,17.17,2020
LVA,Latvia,,13326000000.0,0.219064904842049,,15559.5946483588,,,2.3,,8.10000038146973,9.2,2020
LAO,Lao PDR,,,5.10407262959903,,2554.42546325236,98.8112487792969,63422.0,21.7,,1.03400003910065,22.66,2020
KGZ,Kyrgyz Republic,,157109058715.412,6.32542296338083,,1102.66436211075,102.635406494141,642.0,11.7,29.0,8.70600032806396,24.0,2020
KWT,Kuwait,,,2.1017295482741,,24429.2204624852,87.2829284667969,,5.0,,3.53900003433228,12.616,2020
XKX,Kosovo,,3286542219.0027,0.198227922994858,,3990.97027440455,,,,,,15.4,2020
KOR,"Korea, Rep.",,3763475100700000.0,0.537288023411772,,31327.4094002797,,,1.5,,3.9300000667572,5.3,2020
PRK,"Korea, Dem. People's Rep.",,,,,,,,8.9,,2.9210000038147,13.784,2020
KIR,Kiribati,,,,,1473.88803412574,108.023712158203,554.0,21.3,,,26.999,2020
KEN,Kenya,,4941146420404.0,5.40481467184518,,1563.17870213378,,,20.5,,5.72900009155273,27.936,2020
KAZ,Kazakhstan,,24493594518522.6,6.74900183815967,,10974.2462750953,100.321098327637,144986.0,4.8,,4.8899998664856,22.76,2020
JOR,Jordan,,38181206695.981,0.33329435062843,,4028.96300716262,80.3544769287109,281509.0,8.8,,19.0259990692139,21.109,2020
JPN,Japan,,1699671200000000.0,-0.0249958340276592,,34556.4399294744,,,0.8,,2.79999995231628,6.8,2020
JAM,Jamaica,,1592032436810.37,5.22677779293517,,4539.00191663451,,,9.3,,9.47999954223633,15.695,2020
ITA,Italy,,3113601000000.0,-0.13770757391657,,29358.1294303082,,,1.7,,9.15999984741211,6.8,2020
ISR,Israel,,1252727475495.07,-0.588430300016595,,37488.4549533854,,,1.9,,4.32999992370605,19.2,2020
IMN,Isle of Man,,,,,,,,,,,,2020
IRL,Ireland,,290014000000.0,-0.334584625428444,0.4,78732.5533241753,,,2.0,,5.61999988555908,11.2,2020
IRQ,Iraq,,57340465430286.7,0.574162679425838,,4448.18365610689,,,14.4,,14.0880002975464,28.139,2020
IRN,"Iran, Islamic Rep.",,,30.5941390387295,,5333.0467792908,109.695373535156,11150.0,8.3,,12.168999671936,17.94,2020
IDN,Indonesia,,7616762596208240.0,1.92096800566845,,3757.12164054218,,,11.7,37.6,4.28000020980835,17.448,2020
IND,India,,,6.62343677628532,,1817.81578185277,99.9004592895508,6545825.0,20.3,,7.99700021743774,17.437,2020
ISL,Iceland,,3050376975850.0,2.84792401518658,,53188.0398077511,,,1.0,,5.48000001907349,12.3,2020
HUN,Hungary,,30415045900000.0,3.3267438576673,,14400.7191628784,,,2.1,,4.25,9.6,2020
HKG,"Hong Kong SAR, China",,7066616420000.0,0.250962021080809,,41469.9755056035,107.832077026367,8627.0,,,5.82999992370605,5.8,2020
HND,Honduras,,424870024323.824,3.46841177951168,,2239.0081498977,,,8.8,,8.3730001449585,21.06,2020
HTI,Haiti,,305083764077.688,22.7963113642528,,1311.70813672834,,,24.8,,15.451000213623,23.58,2020
GUY,Guyana,,561383922596.36,0.993337022838757,,9250.30167363697,,,17.3,,16.4309997558594,19.473,2020
GNB,Guinea-Bissau,,194372283531.0,,,619.28915783324,,,35.1,,6.73699998855591,34.006,2020
GIN,Guinea,,35308216933656.3,10.6018600008336,,962.116324219918,100.785369873047,302477.0,29.9,,6.10300016403198,35.568,2020
GTM,Guatemala,,301729504123.337,3.21444062197346,,4126.2054283726,100.610366821289,246359.0,11.1,,3.55299997329712,23.854,2020
GUM,Guam,,,,,31162.6759585132,,,,,6.80200004577637,16.348,2020
GRD,Grenada,,1243935737.2,-0.740732597045501,,8699.11138487343,,,10.9,,,15.902,2020
GRL,Greenland,,,,,47957.7936697606,,,,,,14.8,2020
GRC,Greece,,174269000000.0,-1.24798355581408,,17323.8227704417,,,2.4,,16.2999992370605,7.9,2020
GIB,Gibraltar,,,,,,108.761329650879,,,,,,2020
GHA,Ghana,,146772444745.073,9.88728956269943,,2020.62427213167,103.442001342773,265188.0,22.9,,4.65100002288818,28.598,2020
DEU,Germany,,5001282000000.0,0.506689889953274,,41315.3135706623,,,2.2,,3.80999994277954,9.3,2020
GEO,Georgia,,40173671934.0,5.2024648897533,,4447.664250894,99.4172897338867,2037.0,5.0,34.5,18.5,12.916,2020
GMB,"Gambia, The",,39057362345.46,5.93127636562439,,692.749167007907,103.526229858398,48762.0,25.7,,11.081000328064,37.588,2020
GAB,Gabon,,,1.17681176042119,,6818.49683740627,,,19.7,,21.9720001220703,30.257,2020
PYF,French Polynesia,,,,,19586.5414258844,,,,,14.0959997177124,14.175,2020
FRA,France,,4353786000000.0,0.476498852725083,,35785.967011942,,,2.6,,8.01000022888184,10.9,2020
FIN,Finland,,365601000000.0,0.290554555653313,2.8,45009.6152767648,,,1.4,,7.76000022888184,8.4,2020
FJI,Fiji,,8736837487.48589,-2.5952432588737,,4943.76957934039,112.685447692871,1225.0,11.6,,4.71500015258789,20.604,2020
FRO,Faroe Islands,,,,,,,,,,,12.9,2020
ETH,Ethiopia,,,20.3563468559061,,826.973053177312,119.402976989746,2187570.0,27.0,,3.23699998855591,31.442,2020
SWZ,Eswatini,,17049310359.6164,,,3723.29614191496,,,20.3,,25.5090007781982,25.4,2020
